class,url,impressions_90d
b_tour_has_impr,/en/ekskursiya/lednik-chalaadi-mestia/,31
b_tour_has_impr,/en/ekskursiya/nochnaya-ekskursiya-tbilisi/,262
b_tour_has_impr,/en/ekskursiya/transfer-aeroport-tbilisi/,173
b_tour_has_impr,/en/ekskursiya/tur-batumi-2-dnya/,137
b_tour_has_impr,/en/ekskursiya/tur-dlya-detey-tbilisi/,134
b_tour_has_impr,/en/ekskursiya/tur-gruziya-10-dney/,123
b_tour_has_impr,/en/ekskursiya/tur-kutaisi-iz-tbilisi/,254
b_tour_has_impr,/en/ekskursiya/ushguli-shkhara-lednik/,115
b_tour_has_impr,/en/ekskursiya/vinniy-tur-tbilisi/,237
b_tour_has_impr,/ge/ekskursiya/ekskursiya-batumi-kutaisi/,36
b_tour_has_impr,/ge/ekskursiya/ekskursiya-gudauri-iz-tbilisi/,36
b_tour_has_impr,/ge/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,85
b_tour_has_impr,/ge/ekskursiya/kvevri-vino-tur/,51
b_tour_has_impr,/ge/ekskursiya/pohod-v-gory-gruzia/,37
b_tour_has_impr,/ge/ekskursiya/shopping-tur-tbilisi/,55
b_tour_has_impr,/ge/ekskursiya/tur-gruziya-3-dnya/,35
b_tour_has_impr,/ge/ekskursiya/tur-gruziya-leto/,67
b_tour_zero_impr,/ekskursiya/ekskursii-iz-batumi/,16
b_tour_zero_impr,/ekskursiya/hayking-truso-iz-kazbegi/,11
b_tour_zero_impr,/ekskursiya/ushguli-iz-mestii/,6
b_tour_zero_impr,/en/ekskursiya/ushguli-iz-mestii/,12
b_tour_zero_impr,/ge/ekskursiya/hayking-juta-chaukhi-iz-kazbegi/,4
b_tour_zero_impr,/ge/ekskursiya/hayking-truso-iz-kazbegi/,5
b_tour_zero_impr,/ge/ekskursiya/lednik-chalaadi-mestia/,5
b_tour_zero_impr,/ge/ekskursiya/ozero-koruldi-mestia/,8
b_tour_zero_impr,/ge/ekskursiya/priklyuchencheskiy-tur-gruziya/,15
b_tour_zero_impr,/ge/ekskursiya/tur-dlya-emigrantov-tbilisi/,8
b_tour_zero_impr,/ge/ekskursiya/tur-dlya-pensionerov-gruziya/,6
b_tour_zero_impr,/ge/ekskursiya/tur-vsya-gruziya/,18
b_tour_zero_impr,/ge/ekskursiya/ushguli-iz-mestii/,9
b_tour_zero_impr,/ge/ekskursiya/ushguli-shkhara-lednik/,8
b_tour_zero_impr,/ge/ekskursiya/vinniy-marshrut-alazani/,10
d_blog_has_impr,/blog/,609
d_blog_has_impr,/blog/gid-tbilisi-vs-gid-gruziya/,71
d_blog_has_impr,/blog/gruziya-perviy-raz/,72
d_blog_has_impr,/blog/gruziya-samostoyatelno-ili-s-gidom/,70
d_blog_has_impr,/blog/khachapuri-po-adzharski/,57
d_blog_has_impr,/blog/rafting-v-gruzii/,114
d_blog_has_impr,/blog/registratsiya-kompanii-v-gruzii/,52
d_blog_has_impr,/blog/sovetskiy-tbilisi/,73
d_blog_has_impr,/blog/uplistsikhe/,43
d_blog_has_impr,/blog/voenno-gruzinskaya-doroga/,32
d_blog_has_impr,/en/blog/adjarian-khachapuri-guide/,140
d_blog_has_impr,/en/blog/best-time-visit-georgia/,453
d_blog_has_impr,/en/blog/company-registration-georgia/,77
d_blog_has_impr,/en/blog/document-translation-notary-georgia/,81
d_blog_has_impr,/en/blog/georgia-budget-travel/,237
d_blog_has_impr,/en/blog/georgia-first-time-tips/,181
d_blog_has_impr,/en/blog/georgian-lari-exchange-rate/,6478
d_blog_has_impr,/en/blog/khinkali-georgian-dumplings/,458
d_blog_has_impr,/en/blog/private-vs-group-tour-tbilisi/,67
d_blog_has_impr,/en/blog/residence-permit-georgia/,307
d_blog_has_impr,/en/blog/tbilisi-guide-vs-georgia-guide/,174
d_blog_has_impr,/en/blog/tbilisi-tourist-guide/,484
d_blog_has_impr,/en/blog/uplistsikhe-cave-city/,179
d_blog_has_impr,/ge/blog/,121
d_blog_has_impr,/ge/blog/company-registration-georgia/,49
d_blog_has_impr,/ge/blog/digital-nomad-tbilisi/,60
d_blog_has_impr,/ge/blog/friday-in-tbilisi/,46
d_blog_has_impr,/ge/blog/georgia-first-time-tips/,153
d_blog_has_impr,/ge/blog/georgia-guide-or-solo/,34
d_blog_has_impr,/ge/blog/georgia-with-kids/,61
d_blog_has_impr,/ge/blog/kakheti-one-day-trip/,82
d_blog_has_impr,/ge/blog/kazbegi-in-winter/,68
d_blog_has_impr,/ge/blog/kazbegi-solo-vs-guided/,75
d_blog_has_impr,/ge/blog/kutaisi-day-trip/,134
d_blog_has_impr,/ge/blog/new-year-in-georgia/,82
d_blog_has_impr,/ge/blog/open-bank-account-georgia/,127
d_blog_has_impr,/ge/blog/public-service-hall-georgia/,157
d_blog_has_impr,/ge/blog/rafting-in-georgia/,47
d_blog_has_impr,/ge/blog/sunday-in-tbilisi/,36
d_blog_has_impr,/ge/blog/tbilisi-guide-vs-georgia-guide/,56
d_blog_has_impr,/ge/blog/tbilisi-rainy-day/,95
d_blog_has_impr,/ge/blog/vegan-food-georgia/,34
d_blog_zero_impr,/blog/gamardzhoba/,0
d_blog_zero_impr,/blog/russkoyazychny-gid-tbilisi/,4
d_blog_zero_impr,/blog/uslugi-chastnogo-gida-tbilisi/,15
d_blog_zero_impr,/en/blog/private-guide-services-tbilisi/,4
d_blog_zero_impr,/ge/blog/best-time-visit-georgia/,20
d_blog_zero_impr,/ge/blog/document-translation-notary-georgia/,18
d_blog_zero_impr,/ge/blog/georgia-budget-travel/,28
d_blog_zero_impr,/ge/blog/georgia-in-may/,28
d_blog_zero_impr,/ge/blog/georgia-in-winter/,26
d_blog_zero_impr,/ge/blog/kazbegi-vs-kakheti/,12
d_blog_zero_impr,/ge/blog/private-guide-services-tbilisi/,15
e_other,/en/pogoda/adjara/,101
e_other,/en/pogoda/bakuriani/,104
e_other,/en/pogoda/guria/,50
e_other,/en/pogoda/imereti/,0
e_other,/en/pogoda/kakheti/,0
e_other,/en/pogoda/kvemo-kartli/,28
e_other,/en/pogoda/mtskheta-mtianeti/,11
e_other,/en/pogoda/mtskheta/,122
e_other,/en/pogoda/racha/,0
e_other,/en/pogoda/samegrelo/,12
e_other,/en/pogoda/samtskhe-javakheti/,6
e_other,/en/pogoda/shida-kartli/,23
e_other,/en/pogoda/signagi/,0
e_other,/en/pogoda/tbilisi/,0
e_other,/en/pogoda/telavi/,0
e_other,/ge/pogoda/adjara/,13
e_other,/ge/pogoda/bakuriani/,1
e_other,/ge/pogoda/batumi/,3
e_other,/ge/pogoda/borjomi/,7
e_other,/ge/pogoda/gudauri/,2
e_other,/ge/pogoda/guria/,31
e_other,/ge/pogoda/imereti/,0
e_other,/ge/pogoda/kakheti/,0
e_other,/ge/pogoda/kutaisi/,0
e_other,/ge/pogoda/kvemo-kartli/,4
e_other,/ge/pogoda/mestia/,8
e_other,/ge/pogoda/mtskheta-mtianeti/,8
e_other,/ge/pogoda/mtskheta/,0
e_other,/ge/pogoda/racha/,0
e_other,/ge/pogoda/samegrelo/,19
e_other,/ge/pogoda/shida-kartli/,17
e_other,/ge/pogoda/signagi/,0
e_other,/ge/pogoda/tbilisi/,0
e_other,/ge/pogoda/telavi/,0
e_other,/partners/ge/,8
e_other,/pogoda/,70
e_other,/pogoda/adjara/,18
e_other,/pogoda/batumi/,52
e_other,/pogoda/borjomi/,39
e_other,/pogoda/gudauri/,36
e_other,/pogoda/guria/,7
e_other,/pogoda/imereti/,0
e_other,/pogoda/kakheti/,0
e_other,/pogoda/kutaisi/,109
e_other,/pogoda/kvemo-kartli/,17
e_other,/pogoda/mtskheta-mtianeti/,13
e_other,/pogoda/mtskheta/,26
e_other,/pogoda/racha/,0
e_other,/pogoda/samegrelo/,12
e_other,/pogoda/samtskhe-javakheti/,13
e_other,/pogoda/shida-kartli/,2
e_other,/pogoda/signagi/,0
e_other,/pogoda/tbilisi/,0
e_other,/pogoda/telavi/,0
e_other,/voprosy/,40
