Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Bid Strategy Max CPC,Networks,Campaign Status,Location,Location Type,Language,Ad Schedule,Ad Group,Ad Group Type,Max CPC,Keyword,Keyword Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Negative Keyword,Negative Keyword Type,Ad Type,Device Preference
Sakhva_Search_ROI,,,,,,,,,,,AG_Private_Guide,Standard,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Private_Guide,,,частный гид тбилиси,Phrase,https://sakhva-travel.com/tour/hidden-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Private_Guide,,,частный гид тбилиси,Exact,https://sakhva-travel.com/tour/hidden-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Private_Guide,,,русскоязычный гид тбилиси,Phrase,https://sakhva-travel.com/tour/hidden-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Private_Guide,,,русскоязычный гид тбилиси,Exact,https://sakhva-travel.com/tour/hidden-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Private_Guide,,,индивидуальная экскурсия тбилиси,Phrase,https://sakhva-travel.com/tour/hidden-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Private_Guide,,,индивидуальная экскурсия тбилиси,Exact,https://sakhva-travel.com/tour/hidden-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Private_Guide,,,,,https://sakhva-travel.com/tour/hidden-tbilisi/,Частный гид в Тбилиси,Русскоязычный гид Тимур,Индивидуальная экскурсия,От $63 за человека,Группа до 6 человек,Бесплатная отмена 24ч,Ответ за 15 минут,Рейтинг 4.9 на Google,Скрытые места Тбилиси,Напрямую без агрегатора,Маршрут под вас,{KeyWord:Гид в Тбилиси},Забронируйте в WhatsApp,Только для вашей группы,Гид с 5 лет опыта,Частный гид Тимур в Тбилиси. От $63/чел. Русский язык. Маршрут под вас.,Скрытые места Тбилиси. До 6 чел. Рейтинг 4.9 на Google. Отмена бесплатно.,Без переплат агрегаторам. У гида напрямую. Бесплатная отмена. Ответ за 15 мин.,Индивидуальная экскурсия по Тбилиси. Маршрут под интересы. WhatsApp.,,,Responsive search ad,
Sakhva_Search_ROI,,,,,,,,,,,AG_Private_Guide,,,,,https://sakhva-travel.com/tour/hidden-tbilisi/,Гид по Тбилиси русский,Частный тур от $63,Экскурсия под ваш запрос,Русскоязычный гид Тимур,Рейтинг 4.9 Google,Бесплатная отмена,Ответ за 15 минут,Группа до 6 человек,Не агентство а гид,Скрытый Тбилиси,{KeyWord:Экскурсия},Индивидуальный маршрут,Забронируйте в WhatsApp,Без переплат,Тбилиси без туристов,Русскоязычный гид Тимур. Экскурсии от $63/чел. Напишите в WhatsApp сейчас.,Покажу Тбилиси без клише. Частный гид. Рейтинг 4.9. До 6 человек.,Частный гид напрямую. Без комиссий агрегаторов. Бесплатная отмена за 24 часа.,Маршрут под ваши интересы. Гибкий график. Трансфер. Ответ за 15 минут.,,,Responsive search ad,
Sakhva_Search_ROI,,,,,,,,,,,AG_Old_Tbilisi,Standard,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Old_Tbilisi,,,старый тбилиси экскурсия,Phrase,https://sakhva-travel.com/tour/old-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Old_Tbilisi,,,старый тбилиси экскурсия,Exact,https://sakhva-travel.com/tour/old-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Old_Tbilisi,,,экскурсия по тбилиси,Phrase,https://sakhva-travel.com/tour/old-tbilisi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Old_Tbilisi,,,,,https://sakhva-travel.com/tour/old-tbilisi/,Старый Тбилиси тур,Пешая прогулка от $42,Русскоязычный гид Тимур,Частный тур для вас,Группа до 6 человек,Бесплатная отмена 24ч,Ответ за 15 минут,Рейтинг 4.9 на Google,Серные бани и Нарикала,Напрямую без агрегатора,{KeyWord:Тбилиси тур},Старый город за 3 часа,От $42 за человека,Забронируйте в WhatsApp,Индивидуальный маршрут,Старый Тбилиси от $42/чел. Гид Тимур на русском. Напишите в WhatsApp сейчас.,"Нарикала, серные бани, Абанотубани. До 6 чел. Отмена бесплатно. Рейтинг 4.9.",Частный гид покажет настоящий Тбилиси. Без переплат. Ответ за 15 минут.,Пешая экскурсия по историческому центру. Гибкий график. Забронируйте.,,,Responsive search ad,
Sakhva_Search_ROI,,,,,,,,,,,AG_Old_Tbilisi,,,,,https://sakhva-travel.com/tour/old-tbilisi/,Тбилиси пешая экскурсия,От $42 за человека,Гид Тимур на русском,Старый город Тбилиси,Рейтинг 4.9 Google,Бесплатная отмена,Ответ за 15 минут,Группа до 6 человек,Не агентство а гид,{KeyWord:Экскурсия},Нарикала и серные бани,Забронируйте в WhatsApp,3 часа по Старому городу,Индивидуальный маршрут,Частный тур от $42,Пешая экскурсия по Старому Тбилиси от $42/чел. Гид Тимур. WhatsApp.,"Нарикала, Абанотубани, Метехи. До 6 чел. Рейтинг 4.9. Отмена бесплатно.",Без переплат агрегаторам. Гид напрямую. Бесплатная отмена за 24 часа.,Прогулка по Старому Тбилиси. Маршрут под вас. Ответ за 15 минут.,,,Responsive search ad,
Sakhva_Search_ROI,,,,,,,,,,,AG_Mtskheta,Standard,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Mtskheta,,,мцхета экскурсия,Phrase,https://sakhva-travel.com/tour/mtskheta/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Mtskheta,,,мцхета экскурсия,Exact,https://sakhva-travel.com/tour/mtskheta/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Mtskheta,,,мцхета из тбилиси,Phrase,https://sakhva-travel.com/tour/mtskheta/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Mtskheta,,,,,https://sakhva-travel.com/tour/mtskheta/,Мцхета экскурсия от $15,Мцхета из Тбилиси,Русскоязычный гид Тимур,Джвари и Светицховели,Группа до 6 человек,Бесплатная отмена 24ч,Ответ за 15 минут,Рейтинг 4.9 на Google,Частный тур в Мцхету,Напрямую без агрегатора,{KeyWord:Мцхета тур},От $15 за человека,Забронируйте в WhatsApp,Духовная столица Грузии,Полдня экскурсия,Экскурсия в Мцхету от $15/чел. Гид Тимур. Джвари + Светицховели. WhatsApp.,Древняя столица Грузии за полдня. До 6 чел. Бесплатная отмена. Рейтинг 4.9.,Без переплат агрегаторам. У гида напрямую. WhatsApp бронирование за 2 минуты.,"Мцхета: Джвари, Светицховели, слияние рек. Комфортный авто. От $15/чел.",,,Responsive search ad,
Sakhva_Search_ROI,,,,,,,,,,,AG_Mtskheta,,,,,https://sakhva-travel.com/tour/mtskheta/,Тур в Мцхету от $15,Мцхета за полдня,Гид Тимур на русском,Светицховели и Джвари,Рейтинг 4.9 Google,Бесплатная отмена,Ответ за 15 минут,Группа до 6 человек,Не агентство а гид,{KeyWord:Экскурсия},Древняя столица Грузии,Забронируйте в WhatsApp,От $15 за человека,Комфортный трансфер,Частный тур в Мцхету,Мцхета из Тбилиси от $15/чел. Гид Тимур. Джвари и Светицховели. WhatsApp.,Духовная столица Грузии за полдня. Гид на русском. До 6 чел. Рейтинг 4.9.,Экскурсия у гида напрямую. Без комиссий. Бесплатная отмена за 24 часа.,Комфортный авто. Трансфер из отеля. Гибкий график. Ответ за 15 минут.,,,Responsive search ad,
Sakhva_Search_ROI,,,,,,,,,,,AG_Driver_Guide,Standard,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Driver_Guide,,,тбилиси гид водитель,Phrase,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Driver_Guide,,,тбилиси гид водитель,Exact,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Driver_Guide,,,гид с машиной тбилиси,Phrase,https://sakhva-travel.com/tour/kazbegi/,,,,,,,,,,,,,,,,,,,,,,,
Sakhva_Search_ROI,,,,,,,,,,,AG_Driver_Guide,,,,,https://sakhva-travel.com/tour/kazbegi/,Гид-водитель в Тбилиси,Гид с машиной от $93,Русскоязычный гид Тимур,Комфортный автомобиль,Группа до 6 человек,Бесплатная отмена 24ч,Ответ за 15 минут,Рейтинг 4.9 на Google,Казбеги Кахетия Мцхета,Напрямую без агрегатора,{KeyWord:Гид водитель},Трансфер из отеля,Любой маршрут по Грузии,Забронируйте в WhatsApp,Частный гид с авто,"Гид-водитель Тимур. Комфортный авто. Казбеги, Кахетия, Мцхета. WhatsApp.",Частный гид с машиной. Не агрегатор. Рейтинг 4.9. До 6 чел. Отмена бесплатно.,Гид-водитель напрямую. Без переплат. Русский язык. Ответ за 15 минут.,Любой маршрут по Грузии. Трансфер из отеля. Гибкий график. От $93/чел.,,,Responsive search ad,
Sakhva_Search_ROI,,,,,,,,,,,AG_Driver_Guide,,,,,https://sakhva-travel.com/tour/kazbegi/,Тбилиси гид с машиной,Частный водитель-гид,Русскоязычный гид Тимур,От $93 за человека,Рейтинг 4.9 Google,Бесплатная отмена,Ответ за 15 минут,Группа до 6 человек,Не агентство а гид,{KeyWord:Гид Тбилиси},Комфортный минивэн,Забронируйте в WhatsApp,Казбеги и Кахетия,Индивидуальный маршрут,Трансфер из отеля,Частный гид-водитель Тимур. Русский язык. Комфортный авто. WhatsApp сейчас.,"Казбеги, Кахетия, Мцхета и др. До 6 чел. Отмена бесплатно. Рейтинг 4.9.",Без переплат агрегаторам. Гид с машиной напрямую. Трансфер из отеля.,Туры по Грузии. Гибкий график. Любой маршрут. Ответ за 15 минут.,,,Responsive search ad,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,бесплатно,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,самостоятельно,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,отзывы,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,форум,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,блог,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiki,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,карта,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,погода,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,виза,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,посольство,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,как добраться,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,маршрут самостоятельно,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,своим ходом,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,дёшево,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,расстояние,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,население,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,история,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,фото,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,видео,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,отель,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,хостел,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,квартира,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,авиабилеты,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,перелёт,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,билеты,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,работа,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вакансия,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,учёба,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,реферат,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,доклад,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,презентация,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,скачать,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,торрент,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,youtube,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wikipedia,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,автобус,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,маршрутка,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,метро,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,аренда,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,прокат,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ресторан,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,кафе,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,рецепт,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,купить,Campaign Negative Broad,,
Sakhva_Search_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,магазин,Campaign Negative Broad,,
